pid,bc,yds
656266,MG-1150,-1
656267,MG-1150,27
656268,BO-0150,2
656270,MG-1150,-8
656277,JH-4025,7
656278,JH-4025,4
656286,MG-1150,0
656289,DW-4300,0
656291,MG-1150,-1
656293,PR-0300,5
656297,GB-0350,6
656298,GB-0350,3
656300,MG-1150,4
656302,MG-1150,3
656304,MG-1150,20
656306,DW-4300,5
656310,JH-4025,1
656311,AD-0100,3
656313,JH-4025,4
656314,JH-4025,0
656315,MG-1150,1
656319,GB-0350,11
656324,AD-0100,6
656325,GB-0350,8
656326,GB-0350,-1
656332,DW-4300,7
656335,GB-0350,7
656336,GB-0350,9
656338,GB-0350,0
656342,MG-1150,4
656346,GB-0350,26
656347,GB-0350,4
656348,GB-0350,11
656349,GB-0350,-1
656360,DW-4300,3
656364,DW-4300,9
656367,DW-4300,5
656371,GB-0350,5
656372,GB-0350,14
656373,GB-0350,-5
656374,GB-0350,2
656375,GB-0350,1
656379,AD-0100,-1
656380,AD-0100,-1
656383,BS-0650,1
656387,IC-0300,2
656391,DM-1200,4
656393,MM-0912,12
656394,BS-0650,5
656395,TW-1350,4
656397,DJ-1850,4
656398,IC-0300,1
656401,IC-0300,4
656403,IC-0300,11
656406,BS-0650,2
656409,MM-0912,2
656413,JM-0850,2
656414,DJ-1850,1
656417,DM-1200,44
656418,BS-0650,3
656419,DM-1200,4
656425,BS-0650,3
656428,TW-1350,4
656433,DJ-1850,20
656434,DJ-1850,2
656435,IC-0300,8
656437,IC-0300,3
656438,DJ-1850,2
656439,DJ-1850,7
656440,IC-0300,0
656441,JM-0850,0
656442,DM-1200,17
656449,IC-0300,4
656460,HD-0300,-6
656462,IC-0300,9
656464,DJ-1850,-1
656466,DJ-1850,5
656467,DJ-1850,-2
656470,DM-1200,3
656471,BS-0650,0
656473,BS-0650,4
656477,DJ-1850,0
656481,DM-1200,6
656482,DM-1200,3
656483,JF-2950,3
656484,BS-0650,5
656485,DM-1200,10
656486,TW-1350,2
656491,IC-0300,8
656492,IC-0300,-3
656495,DM-1200,1
656496,BS-0650,6
656497,MM-0912,5
656499,BS-0650,8
656500,BS-0650,1
656502,DM-1200,6
656509,BS-0650,4
656514,IC-0300,15
656515,IC-0300,6
656516,DJ-1850,3
656517,DJ-1850,2
656518,IC-0300,2
656519,IC-0300,2
656535,JM-0850,-1
656541,TC-2050,3
656543,TC-2050,0
656549,RJ-0800,6
656551,RJ-0800,5
656552,RJ-0800,-4
656556,SV-0200,-2
656562,TC-2050,9
656563,TC-2050,6
656570,TC-2050,2
656573,TC-2050,1
656577,RJ-0800,1
656580,AW-1350,2
656581,AW-1350,3
656583,SV-0200,-6
656585,EM-0200,5
656589,TC-2050,0
656593,DF-1875,7
656594,DF-1875,0
656596,TC-2050,11
656597,TC-2050,0
656612,SV-0200,2
656627,EM-0200,18
656632,RJ-0800,0
656634,RJ-0800,2
656635,RJ-0800,-2
656643,DF-1875,0
656647,AW-1350,35
656649,AW-1350,0
656650,SV-0200,12
656651,AW-1350,2
656655,DF-1875,1
656656,DF-1875,3
656658,DF-1875,3
656660,DF-1875,4
656661,DF-1875,5
656662,DF-1875,1
656673,SV-0200,2
656674,SV-0200,11
656676,RJ-0800,5
656677,RJ-0800,-1
656680,DF-1875,0
656687,AW-1350,1
656697,DF-1875,-1
656698,DF-1875,2
656707,MR-2500,-1
656710,TM-0650,4
656711,TM-0650,1
656715,AM-2850,-1
656724,AM-2850,35
656726,MJ-2275,39
656729,TM-0650,-1
656734,MJ-2275,1
656735,AM-2850,4
656739,AM-2850,1
656743,TA-1050,3
656744,TM-0650,0
656746,BC-3070,0
656748,MJ-2275,-2
656759,AM-2850,2
656760,AM-2850,8
656764,MJ-2275,25
656765,MJ-2275,4
656766,MJ-2275,4
656768,AM-2850,1
656769,AM-2850,2
656773,TA-1050,10
656778,MJ-2275,2
656779,MJ-2275,1
656780,MJ-2275,6
656787,AM-2850,-2
656791,TA-1050,16
656792,TM-0650,13
656802,MJ-2275,3
656803,MJ-2275,4
656804,TM-0650,9
656809,AM-2850,-2
656822,MJ-2275,5
656824,MJ-2275,2
656825,MJ-2275,11
656826,MJ-2275,4
656828,AM-2850,2
656831,TA-1050,11
656832,TM-0650,0
656834,NF-0250,1
656836,AM-2850,1
656840,MJ-2275,1
656843,AM-2850,1
656844,AM-2850,2
656845,AM-2850,0
656846,MJ-2275,9
656847,MJ-2275,1
656848,MJ-2275,3
656859,AM-2850,5
656860,AM-2850,2
656861,AM-2850,-2
656863,TY-0150,2
656865,TY-0150,2
656866,TY-0150,1
656870,TY-0150,6
656871,TY-0150,4
656872,TY-0150,-2
656878,LM-1150,2
656882,DR-2250,9
656883,TY-0150,0
656886,TY-0150,7
656892,LM-1150,0
656895,ML-0650,12
656896,TY-0150,4
656900,LM-1150,4
656903,RT-0150,9
656907,DW-3125,3
656912,TY-0150,-3
656913,BB-2425,28
656914,CG-1950,1
656915,TY-0150,1
656917,BP-0650,3
656918,TY-0150,12
656919,TY-0150,0
656924,LM-1150,4
656927,LM-1150,6
656928,LM-1150,-2
656940,RT-0150,5
656951,JL-0215,6
656952,RT-0150,3
656955,LM-1150,1
656960,TY-0150,4
656963,TY-0150,7
656964,TY-0150,7
656965,BP-0650,1
656969,LM-1150,4
656972,LM-1150,-5
656975,TY-0150,-4
656981,LM-1150,0
656983,DW-3125,2
657001,TY-0150,-1
657010,TY-0150,6
657011,TY-0150,2
657014,TY-0150,2
657015,TY-0150,-2
657026,TY-0150,6
657027,TY-0150,3
657028,TY-0150,6
657029,BP-0650,0
657036,BB-2425,-1
657042,LM-1850,2
657048,LM-1850,2
657053,JF-2800,4
657059,JF-2800,0
657066,LM-1850,4
657072,LM-1850,5
657079,JF-2800,16
657080,LT-0050,3
657085,LM-1850,5
657088,LM-1850,1
657092,JF-2800,6
657093,JF-1900,0
657094,JF-2800,1
657098,JA-1025,5
657105,TJ-2400,2
657107,LM-1850,7
657118,JF-2800,4
657119,JF-2800,15
657125,JF-2800,11
657134,JF-2800,-2
657142,LM-1850,9
657143,LM-1850,7
657146,TJ-2400,7
657153,JF-2800,1
657158,LM-1850,6
657160,LM-1850,5
657161,LM-1850,2
657164,DC-0725,24
657176,LT-0050,5
657181,LM-1850,3
657185,LT-0050,7
657187,LT-0050,3
657190,JF-2800,4
657192,JF-2800,4
657193,JF-2800,0
657194,JF-1900,2
657196,LT-0050,7
657200,LM-1850,3
657201,LM-1850,4
657204,LT-0050,4
657205,LT-0050,5
657206,JF-2800,2
657207,JF-2800,2
657226,DC-0725,-1
657228,JR-0250,-1
657231,LD-0850,8
657233,DM-4300,1
657237,JR-0250,5
657238,JR-0250,3
657241,DM-4300,3
657243,DS-3300,-4
657248,JR-0250,4
657250,JR-0250,6
657251,JR-0250,5
657253,JR-0250,3
657255,JR-0250,0
657260,DM-4300,2
657261,DM-4300,-2
657264,DM-1600,-1
657266,DM-1600,0
657274,RM-1200,0
657278,JR-0250,3
657284,DM-4300,-3
657289,JR-0250,2
657304,TR-0800,12
657312,DM-4300,-6
657313,DM-4300,-5
657322,JR-0250,4
657323,JR-0250,3
657326,JR-0250,-1
657332,DM-4300,-5
657340,JR-0250,6
657343,JR-0250,4
657344,JR-0250,3
657347,SB-1100,9
657349,DM-4300,3
657351,DM-4300,3
657356,DM-1600,4
657357,BW-0850,9
657358,DM-1600,2
657359,DM-1600,6
657360,DM-1600,3
657361,DM-1600,4
657363,DM-1600,9
657365,JR-0250,1
657367,SB-1100,0
657369,JR-0250,1
657377,DM-1600,2
657378,DM-1600,2
657389,DM-4300,9
657390,DM-4300,2
657391,DM-4300,0
657398,BW-0850,-1
657399,BW-0850,-1
657401,EL-0010,0
657406,JS-6200,10
657409,EL-0010,8
657410,EL-0010,1
657417,ML-2500,-2
657418,ML-2500,-3
657420,JS-6200,-4
657422,AR-1300,9
657425,ML-2500,2
657429,RW-3850,10
657430,ML-2500,0
657431,ML-2500,7
657436,JS-6200,6
657437,JS-6200,2
657443,ML-2500,-1
657450,AR-1300,3
657452,JS-6200,5
657454,ML-2500,7
657455,ML-2500,3
657456,ML-2500,-2
657458,RW-3850,3
657460,JS-6200,7
657461,JS-6200,2
657462,JS-6200,4
657464,JS-6200,3
657467,ML-2500,11
657469,ML-2500,7
657470,ML-2500,0
657486,RW-3850,7
657487,RW-3850,10
657488,ML-2500,-1
657494,JS-6200,2
657499,RW-3850,17
657506,JS-6200,35
657507,JS-6200,2
657508,AR-1300,9
657510,JS-6200,1
657515,RW-3850,7
657516,RW-3850,7
657522,JS-6200,0
657525,AR-1300,2
657536,ML-2500,5
657537,ML-2500,8
657538,RW-3850,-2
657539,RW-3850,13
657541,JS-6200,8
657542,JS-6200,4
657543,JS-6200,-1
657544,JS-6200,5
657546,JS-6200,2
657547,JS-6200,2
657548,AR-1300,1
657553,RW-3850,6
657557,AR-1300,-1
657560,CI-0300,4
657564,CI-0300,-2
657567,FG-0200,3
657568,FG-0200,3
657571,JR-2775,2
657574,CI-0300,1
657576,CI-0300,-2
657580,FG-0200,9
657582,FG-0200,18
657583,JR-2775,8
657591,JR-2775,0
657595,CI-0300,4
657596,CI-0300,4
657598,RF-0500,6
657603,FG-0200,-1
657607,BP-1200,4
657608,BP-1200,-2
657611,BP-1200,0
657614,FG-0200,9
657615,FG-0200,0
657625,CI-0300,1
657626,CI-0300,1
657633,AL-1100,4
657638,BP-1200,2
657641,FG-0200,-2
657649,FG-0200,4
657653,AL-1100,5
657654,FG-0200,3
657655,FG-0200,1
657657,JR-2775,2
657658,FG-0200,0
657659,FG-0200,0
657661,CI-0300,1
657664,FG-0200,2
657667,CI-0300,7
657668,CI-0300,19
657669,BP-1200,1
657671,CI-0300,0
657672,CI-0300,3
657675,FG-0200,8
657676,AL-1100,10
657677,JR-2775,0
657678,AL-1100,5
657690,CI-0300,16
657691,BP-1200,3
657700,BP-1200,3
657701,BP-1200,1
657703,BP-1200,23
657704,BP-1200,4
657705,BP-1200,-1
657707,BP-1200,0
657715,MJ-2275,4
657722,RJ-0800,2
657723,SV-0200,4
657725,RJ-0800,3
657728,AM-2850,3
657732,AW-1350,0
657733,AW-1350,1
657736,AM-2850,6
657737,CT-1220,3
657738,MJ-2275,0
657744,RJ-0800,3
657746,RJ-0800,2
657750,MJ-2275,10
657752,MJ-2275,4
657754,MJ-2275,6
657755,MJ-2275,5
657757,MJ-2275,6
657761,AW-1350,5
657763,AW-1350,5
657764,AW-1350,1
657766,AW-1350,3
657772,AM-2850,1
657774,AM-2850,1
657776,MJ-2275,-3
657780,MJ-2275,1
657785,SV-0200,3
657794,DY-0200,2
657796,RJ-0800,9
657797,RJ-0800,2
657798,RJ-0800,2
657801,SV-0200,3
657803,SV-0200,5
657804,SV-0200,4
657805,RJ-0800,0
657807,SV-0200,4
657812,AM-2850,7
657813,AM-2850,1
657816,MJ-2275,0
657820,AW-1350,11
657821,AW-1350,0
657826,AW-1350,3
657828,AW-1350,0
657846,MJ-2275,5
657847,RJ-0800,1
657848,RJ-0800,8
657849,RJ-0800,0
657867,AW-1350,1
657868,AW-1350,-1
657874,AW-1350,0
657875,AW-1350,0
657886,CT-1220,26
657888,JR-0250,28
657890,JR-0250,37
657893,DF-1875,1
657894,DF-1875,1
657898,JR-0250,20
657899,JR-0250,1
657901,JR-0250,-1
657904,JR-0250,1
657910,DF-1875,16
657913,DF-1875,10
657918,DF-1875,3
657922,JR-0250,4
657923,JR-0250,1
657925,JR-0250,0
657927,DF-1875,7
657932,DM-1600,10
657936,DM-1600,5
657938,DM-1600,7
657939,DM-1600,10
657940,DM-1600,2
657943,DF-1875,-2
657948,DF-1875,5
657950,DF-1875,7
657951,DF-1875,1
657953,DF-1875,1
657955,DF-1875,2
657959,LD-0850,5
657963,JR-0250,1
657974,DF-1875,7
657976,DF-1875,-5
657982,JR-0250,-1
657987,DF-1875,9
657990,DF-1875,7
657991,DF-1875,0
657995,JR-0250,-4
657998,JR-0250,2
658000,JR-0250,-2
658004,DF-1875,16
658006,DF-1875,3
658007,DF-1875,1
658008,MR-2500,18
658009,DF-1875,3
658014,DF-1875,7
658017,DM-1600,1
658021,DF-1875,4
658022,DF-1875,17
658025,DF-1875,5
658026,DF-1875,1
658029,DF-1875,5
658030,DF-1875,3
658040,DF-1875,0
658041,DF-1875,6
658042,MR-2500,-1
658044,DM-1200,0
658048,FG-0200,6
658049,FG-0200,7
658050,FG-0200,-1
658051,AL-1100,3
658054,AA-1350,6
658058,FG-0200,12
658059,FG-0200,3
658065,FG-0200,0
658066,FG-0200,1
658069,AA-1350,3
658071,AA-1350,0
658072,DM-1200,2
658075,FG-0200,3
658077,FG-0200,1
658079,BS-0650,1
658080,KW-2550,13
658084,AA-1350,1
658088,DM-1200,-1
658092,AA-1350,13
658094,JF-2950,3
658100,JR-2775,3
658105,AA-1350,2
658113,BS-0650,8
658114,AA-1350,1
658115,JF-2950,2
658120,FG-0200,18
658123,AL-1100,15
658125,FG-0200,3
658136,AA-1350,8
658147,PM-0300,18
658151,AA-1350,4
658154,JF-2950,3
658156,AA-1350,-1
658157,BS-0650,-1
658160,AL-1100,6
658164,AA-1350,4
658167,AA-1350,8
658168,DM-1200,10
658169,BS-0650,5
658170,DM-1200,-4
658182,FG-0200,2
658189,BS-0650,-3
658199,FG-0200,25
658201,JR-2775,5
658202,FG-0200,6
658214,JF-2950,1
658218,AL-1100,-1
658219,AL-1100,-1
658220,AL-1100,-1
658223,LM-1850,-2
658226,LM-1850,2
658232,LM-1850,0
658233,LM-1850,2
658237,IC-0300,2
658239,IC-0300,1
658245,LM-1850,0
658248,LM-1850,0
658249,LM-1850,-1
658253,DJ-1850,4
658255,DJ-1850,-1
658260,LM-1850,8
658263,IC-0300,5
658269,LM-1850,4
658270,LM-1850,6
658277,LM-1850,7
658279,LM-1850,4
658280,LM-1850,1
658285,IC-0300,-4
658290,DJ-1850,-6
658292,IC-0300,17
658293,IC-0300,0
658295,IC-0300,0
658299,LM-1850,20
658302,MR-0500,1
658307,DJ-1850,6
658309,IC-0300,1
658314,LM-1850,54
658316,TJ-2400,9
658317,LM-1850,4
658318,TJ-2400,7
658337,IC-0300,1
658341,LM-1850,3
658343,LM-1850,2
658345,LM-1850,5
658346,LM-1850,2
658347,LM-1850,6
658355,IC-0300,13
658362,LM-1850,2
658375,LM-1850,4
658377,LM-1850,1
658380,LM-1850,4
658381,LM-1850,1
658396,DC-0725,-1
658399,JF-2800,4
658401,JF-2800,-2
658404,JH-4025,1
658405,JH-4025,3
658408,JH-4025,2
658409,JH-4025,6
658410,JH-4025,3
658416,JH-4025,3
658417,JH-4025,2
658418,AD-0100,7
658421,JA-1025,9
658422,JA-1025,2
658427,MC-0150,8
658428,JF-2800,3
658434,GB-0350,5
658435,GB-0350,6
658437,GB-0350,2
658442,JF-2800,0
658452,JF-2800,2
658455,AL-0650,3
658456,JF-2800,5
658457,JA-1025,1
658460,JF-2800,2
658461,LT-0050,-2
658467,MS-0150,6
658471,GB-0350,5
658483,GB-0350,5
658485,JH-4025,1
658486,JH-4025,-1
658488,AD-0100,1
658489,JH-4025,-4
658491,JH-4025,2
658495,JF-2800,3
658501,JF-2800,-2
658506,GB-0350,1
658507,GB-0350,1
658513,LT-0050,1
658521,LT-0050,1
658525,JH-4025,3
658527,AD-0100,4
658532,GB-0350,4
658534,JF-2800,-2
658538,GB-0350,4
658540,GB-0350,4
658563,GB-0350,0
658572,AD-0100,-1
658573,AD-0100,-1
658574,GB-0350,7
658575,GB-0350,5
658578,TY-0150,1
658585,DL-1700,8
658588,TY-0150,3
658590,TY-0150,0
658594,TY-0150,8
658600,DL-1700,3
658603,DL-1700,10
658606,DL-1700,3
658610,BP-0650,1
658611,BB-2425,2
658613,TY-0150,5
658614,TY-0150,4
658615,BB-2425,3
658618,TY-0150,0
658621,TG-0600,3
658625,TY-0150,0
658632,LB-0500,3
658634,TB-2300,2
658636,LB-0500,22
658638,DL-1700,2
658640,DL-1700,4
658646,TY-0150,5
658650,DL-1700,5
658653,TB-2300,2
658655,DL-1700,2
658666,LB-0500,9
658667,LB-0500,-3
658673,TY-0150,3
658680,LB-0500,1
658684,CG-1950,4
658687,TY-0150,4
658694,LB-0500,7
658695,LB-0500,17
658696,LB-0500,2
658702,BB-2425,2
658703,CG-1950,2
658704,LB-0500,1
658707,LB-0500,0
658708,LB-0500,1
658711,TG-0600,5
658712,TG-0600,2
658718,LB-0500,8
658719,LB-0500,1
658720,LB-0500,1
658721,JW-2550,3
658724,JW-2550,5
658726,LB-0500,2
658730,LB-0500,3
658731,LB-0500,2
658732,LB-0500,1
658744,JG-0650,-1
658745,JG-0650,-1
658748,MI-0100,3
658750,MI-0100,0
658752,KR-1050,8
658755,MI-0100,3
658760,CB-3850,12
658761,JS-6700,2
658764,JS-6700,2
658768,MI-0100,5
658769,AJ-1125,3
658773,KR-1050,-1
658778,KR-1050,3
658780,MI-0100,5
658782,MI-0100,9
658783,MI-0100,3
658784,MI-0100,5
658788,JS-6700,0
658790,CN-0500,6
658792,JS-6700,14
658794,MT-1300,5
658795,MT-1300,4
658796,CN-0500,1
658798,JS-6700,3
658802,KR-1050,0
658810,JS-6700,-3
658813,CN-0500,1
658814,MT-1300,-2
658823,JS-6700,3
658831,JS-6700,5
658833,CN-0500,1
658837,JS-6700,1
658843,MI-0100,4
658846,AJ-1125,1
658851,JS-6700,12
658852,JS-6700,2
658853,MT-1300,3
658854,CN-0500,9
658855,JS-6700,3
658861,KR-1050,-1
658863,MI-0100,2
658864,CS-3400,4
658865,KR-1050,1
658868,JS-6700,8
658873,CN-0500,2
658874,MT-1300,6
658875,CN-0500,13
658880,MI-0100,2
658884,MI-0100,4
658887,KR-1050,2
658890,JS-6700,0
658894,MI-0100,1
658903,MI-0100,4
658905,CA-1175,1
658906,CA-1175,4
658907,CA-1175,1
658913,BP-1200,3
658918,DS-3300,5
658920,RM-1200,27
658924,DS-3300,5
658925,RM-1200,6
658927,DS-3300,-3
658931,BP-1200,1
658936,RM-1200,3
658939,DS-3300,-4
658940,RM-1200,1
658946,BP-1200,1
658950,RM-1200,5
658953,DS-3300,-2
658956,ZS-0150,2
658962,BP-1200,7
658963,ZS-0150,1
658966,RM-1200,1
658974,RM-1200,11
658975,RM-1200,0
658977,DS-3300,3
658979,DS-3300,12
658987,DS-3300,3
658988,RM-1200,9
658989,RM-1200,4
658991,DS-3300,1
658995,BP-1200,10
658996,BP-1200,-2
659005,SB-1100,-1
659009,DS-3300,0
659014,BP-1200,-1
659024,BP-1200,5
659027,RF-0500,5
659031,RM-1200,2
659032,RM-1200,0
659039,RM-1200,6
659041,RM-1200,-2
659045,BP-1200,4
659048,RF-0500,5
659050,BP-1200,3
659052,RF-0500,2
659058,RF-0500,1
659063,RM-1200,13
659064,RM-1200,9
659065,RM-1200,2
659066,RM-1200,-3
659070,RM-1200,4
659071,RM-1200,1
659080,RM-1200,-1
659081,RM-1200,6
659082,DS-3300,-3
659090,RM-1200,2
659091,RM-1200,2
659094,RM-1200,0
659095,SB-1100,0
659096,SB-1100,-1
659098,AB-1975,5
659099,AB-1975,4
659101,JG-3850,1
659102,JG-3850,2
659106,DM-0450,0
659109,DM-0450,0
659111,DM-0450,10
659115,AB-1975,-2
659118,AB-1975,12
659119,AB-1975,8
659120,AB-1975,-1
659127,DM-0450,5
659128,DM-0450,-1
659134,CP-1950,6
659136,CP-1950,-3
659138,CP-1950,1
659144,CS-1950,-4
659149,AB-1975,4
659152,AB-1975,8
659153,AB-1975,3
659155,AB-1975,-1
659156,AB-1975,-3
659161,DM-0450,-2
659165,DM-0450,4
659170,AB-1975,7
659172,AB-1975,9
659173,AB-1975,8
659175,AB-1975,8
659179,CS-1950,-4
659187,JG-3850,4
659188,JG-3850,4
659191,DM-0450,3
659194,AB-1975,14
659195,AB-1975,4
659201,DM-0450,2
659203,DM-0450,7
659204,DM-0450,-3
659210,JG-3850,1
659212,DM-0450,17
659213,DM-0450,4
659214,DM-0450,0
659217,CP-1950,4
659221,CP-1950,-3
659228,AB-1975,2
659231,JG-3850,7
659232,AB-1975,4
659234,AB-1975,2
659238,CS-1950,9
659239,CS-1950,2
659243,CS-1950,3
659248,AB-1975,2
659249,AB-1975,0
659251,AB-1975,20
659255,CS-1950,5
659258,AB-1975,0
659260,AB-1975,-2
659262,AB-1975,12
659263,AB-1975,0
659267,JP-4187,7
659268,AB-1975,9
659269,AB-1975,0
659270,JP-4187,16
659271,AB-1975,0
659272,AB-1975,3
659273,JP-4187,1
659281,RM-0300,-1
659283,AP-0700,2
659285,AP-0700,2
659286,AP-0700,5
659289,MG-1150,0
659290,MG-1150,2
659293,AP-0700,5
659296,AP-0700,21
659299,DW-4300,5
659301,MG-1150,0
659302,MG-1150,8
659303,MG-1150,1
659305,AP-0700,2
659308,AP-0700,-1
659309,AP-0700,-2
659315,AP-0700,6
659316,AP-0700,1
659320,MG-1150,7
659322,MG-1150,2
659326,JM-3450,9
659327,JM-3450,3
659328,JM-3450,-1
659331,MA-1150,2
659335,AP-0700,3
659336,AP-0700,2
659341,DJ-1300,2
659343,DW-4300,1
659347,AP-0700,4
659352,MG-1150,4
659363,MA-1150,8
659366,DW-4300,-4
659369,AP-0700,43
659372,MG-1150,9
659373,MG-1150,1
659374,MG-1150,3
659379,AP-0700,2
659381,AP-0700,4
659382,CP-0750,9
659385,JM-3450,1
659387,AP-0700,10
659388,AP-0700,1
659392,AP-0700,5
659393,AP-0700,11
659394,ZL-0200,1
659397,MG-1150,13
659399,MG-1150,-2
659402,DW-4300,2
659411,MG-1150,3
659413,DW-4300,7
659419,JM-3450,3
659420,JM-3450,3
659423,BO-0150,3
659424,BO-0150,3
659428,BO-0150,3
659430,BO-0150,3
659431,BO-0150,5
659432,BO-0150,3
659434,BO-0150,0
659435,BO-0150,6
659439,TB-2650,-1
659444,DW-3600,2
659447,LB-0250,3
659448,LB-0250,2
659452,LB-0250,-1
659455,TM-0650,7
659458,TM-0650,1
659462,LB-0250,19
659466,LB-0250,1
659467,LB-0250,1
659471,LB-0250,2
659474,LB-0250,1
659477,TG-1950,2
659479,TG-1950,1
659481,TG-1950,-1
659486,LB-0250,1
659488,TM-0650,-1
659490,TM-0650,6
659493,TM-0650,3
659494,TM-0650,3
659499,LB-0250,5
659506,TG-1950,4
659507,BC-3070,12
659515,LB-0250,-4
659518,LB-0250,-3
659527,TM-0650,3
659533,LB-0250,0
659537,TG-1950,2
659538,TG-1950,1
659541,LB-0250,6
659542,LB-0250,2
659545,TM-0650,-4
659548,CG-1060,24
659549,TM-0650,-2
659553,NF-0250,10
659556,LB-0250,23
659557,LB-0250,3
659563,LB-0250,2
659564,LB-0250,-1
659573,MV-0300,-1
659574,MV-0300,-1
659578,CJ-1700,2
659579,CJ-1700,-1
659582,CH-5000,-1
659583,CH-5000,0
659589,CH-5000,1
659593,CH-5000,7
659594,CK-0100,3
659595,CH-5000,0
659596,MD-0150,-1
659598,CH-5000,14
659607,CJ-1700,5
659611,CJ-1700,2
659614,CJ-1700,6
659617,CH-5000,12
659618,CK-0100,8
659619,CH-5000,1
659620,CH-5000,0
659623,CJ-1700,3
659624,CJ-1700,15
659625,CJ-1700,30
659626,DJ-1325,0
659630,CJ-1700,0
659631,CJ-1700,1
659635,CH-5000,5
659636,CH-5000,12
659637,CK-0100,3
659638,MD-0150,2
659641,DJ-1325,-2
659646,CH-5000,-7
659647,CK-0100,12
659653,DJ-1325,3
659666,CJ-1700,2
659672,CH-5000,6
659673,CH-5000,2
659674,CK-0100,7
659675,CK-0100,6
659676,MD-0150,-1
659679,CJ-1700,4
659680,CJ-1700,5
659681,ST-0250,2
659683,CJ-1700,4
659684,CJ-1700,-1
659687,CH-5000,-1
659689,CJ-1700,6
659690,CJ-1700,0
659691,CP-0500,1
659692,CJ-1700,3
659693,CJ-1700,3
659696,MD-0150,2
659697,CK-0100,7
659698,MD-0150,4
659700,MD-0150,-3
659703,CJ-1700,2
659705,CJ-1700,5
659706,CJ-1700,14
659707,DJ-1325,8
659708,DJ-1325,7
659709,DJ-1325,4
659710,DJ-1325,5
659711,ST-0250,0
659712,ST-0250,2
659713,ST-0250,2
659720,MD-0150,3
659728,DS-3800,-1
659729,DS-3800,-1
659730,DS-3800,-1
659732,LM-1150,5
659745,LM-1150,5
659751,LM-1000,9
659757,LM-1000,5
659758,AD-1300,0
659762,LM-1150,1
659768,PH-0400,9
659769,LM-1000,4
659773,KW-1150,18
659774,KW-1150,5
659775,KW-1150,12
659776,TT-0500,6
659777,KW-1150,8
659778,AD-1300,1
659784,JG-3050,0
659785,JG-3050,6
659787,JG-3050,4
659789,JL-0215,-1
659791,KW-1150,2
659793,LM-1000,2
659794,LM-1000,-2
659813,LM-1000,-1
659818,RT-0150,-1
659820,PH-0400,7
659822,LM-1000,-2
659825,LM-1000,-1
659826,KW-1150,4
659828,LM-1000,-2
659829,TT-0500,3
659830,AD-1300,2
659832,LM-1150,6
659835,LM-1150,7
659840,TT-0500,3
659841,KW-1150,3
659843,LM-1000,3
659845,AD-1300,-1
659847,KW-1150,4
659848,KW-1150,4
659851,LM-1000,1
659858,LM-1150,6
659866,LM-1150,8
659871,KW-1150,6
659873,AD-1300,-3
659882,KW-1150,3
659883,KW-1150,41
659888,JG-3050,9
659889,JG-3050,6
659892,DW-3125,3
659893,DW-3125,14
659894,JG-3050,11
659895,JG-3050,8
659896,JG-3050,5
659897,JG-3050,0
659901,EM-0250,-2
659904,MF-1300,-4
659912,MF-1300,9
659913,MF-1300,5
659914,MF-1300,5
659915,MF-1300,12
659916,MF-1300,2
659917,JR-2800,3
659922,TR-0112,6
659926,MF-1300,4
659927,JR-2800,2
659928,JC-3100,1
659930,ML-2500,8
659931,ML-2500,5
659934,ML-2500,-1
659936,MF-1300,5
659937,MF-1300,12
659938,MF-1300,8
659939,JR-2800,1
659940,JR-2800,5
659941,MF-1300,-2
659944,MF-1300,2
659945,MF-1300,3
659950,ML-2500,2
659951,RW-3850,5
659953,MF-1300,5
659955,JC-3100,11
659956,MF-1300,-2
659960,FJ-0100,8
659965,FJ-0100,5
659966,ML-2500,0
659977,MF-1300,2
659990,MF-1300,1
659992,TR-0112,21
659993,TR-0112,2
659994,TR-0112,5
659996,TR-0112,4
659997,TR-0112,1
660001,MF-1300,4
660003,MF-1300,0
660005,TR-0112,3
660006,TR-0112,18
660008,RW-3850,13
660009,TR-0112,6
660015,MF-1300,3
660018,TR-0112,17
660020,RW-3850,4
660022,TR-0112,2
660026,TR-0112,4
660029,RW-3850,8
660032,JC-3100,1
660036,TR-0112,7
660037,TR-0112,2
660040,TR-0112,3
660043,TR-0112,3
660044,RW-3850,-1
660045,RW-3850,-1
660047,JB-2700,-1
660057,AA-0025,4
660064,CA-0750,1
660066,RH-2350,2
660068,JT-2450,4
660071,JB-2700,0
660072,JB-2700,1
660075,AA-0025,0
660079,CA-0750,4
660080,CA-0750,0
660082,AA-0025,5
660084,AA-0025,6
660086,AA-0025,-2
660090,RH-2350,-3
660096,JT-2450,6
660098,RH-2350,2
660100,JT-2450,1
660101,RH-2350,1
660109,AA-0025,-1
660113,JB-2700,1
660125,MS-4100,-1
660129,RH-2350,4
660133,JB-2700,3
660143,RH-2350,2
660147,JB-2700,1
660149,AA-0025,9
660150,JB-2700,0
660155,CA-0750,5
660160,JB-2700,0
660167,RH-2350,5
660176,CA-0750,2
660183,AA-0025,2
660184,JB-2700,1
660188,JB-2700,0
660191,CA-0750,2
660193,CA-0750,2
660194,CA-0750,2
660212,PM-0200,-1
660215,EL-0010,5
660218,JC-2300,2
660219,AS-1600,5
660223,RC-1500,12
660224,JS-6200,11
660230,JC-2300,0
660231,JC-2300,-3
660234,EL-0010,4
660236,EL-0010,9
660237,JS-6200,0
660240,JS-6200,8
660241,JS-6200,4
